Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
2.3,60.0,0,0.5,2.235,58.13,0.232,2.632,0.442,-5.404,1.898,1.18,[1.643 6.773],[0.429 1.109]
2.3,63.75,0,0.61,2.239,62.039,0.232,2.24,0.46,-5.754,1.978,1.05,[2.361 3.438],[0.502 1.392]
2.3,67.5,0,0.06,2.207,65.816,0.232,1.905,0.467,-5.912,2.013,0.904,[1.336 4.02 ],[0.629 1.037]
2.3,71.25,0,0.0,,,,,,,,,[0.609 3.583],[0.188 0.854]
2.3,75.0,0,0.0,,,,,,,,,[1.604 5.616],[0.079 0.493]
2.3,78.75,0,0.0,,,,,,,,,[1.865 5.467],[0.113 2.197]
2.3,82.5,0,0.0,,,,,,,,,[1.3   3.305],[0.504 0.196]
2.3,86.25,0,0.0,,,,,,,,,[1.906 7.552],[0.13  1.406]
2.3,90.0,0,0.0,,,,,,,,,[2.137 7.868],[0.212 1.659]
2.4,30.0,0,0.67,2.378,26.522,0.223,8.867,0.239,-7.901,1.062,2.128,[1.866 2.55 ],[0.473 0.455]
2.4,33.75,0,0.89,2.385,30.877,0.225,7.279,0.279,-7.626,1.224,2.047,[1.244 2.657],[0.564 0.902]
2.4,37.5,0,0.89,2.367,34.361,0.223,6.457,0.3,-7.758,1.336,1.954,[2.439 6.127],[0.242 1.181]
2.4,41.25,0,0.78,2.378,38.976,0.225,5.384,0.34,-7.446,1.496,1.849,[1.363 4.834],[0.262 2.247]
2.4,45.0,0,0.83,2.348,42.256,0.224,4.849,0.356,-7.3,1.579,1.738,[1.835 4.587],[0.143 0.912]
2.4,48.75,0,0.78,2.355,46.342,0.223,4.204,0.383,-7.195,1.704,1.626,[1.53  3.732],[0.357 1.244]
2.4,52.5,0,0.56,2.347,50.082,0.225,3.656,0.408,-6.761,1.8,1.506,[1.879 4.469],[0.117 2.703]
2.4,56.25,0,0.61,2.35,54.125,0.231,3.055,0.442,-5.873,1.904,1.377,[2.083 2.321],[0.123 1.411]
2.4,60.0,0,0.56,2.33,58.104,0.233,2.619,0.463,-5.507,1.978,1.231,[1.226 7.535],[0.2   0.067]
2.4,63.75,0,0.56,2.329,61.873,0.235,2.216,0.485,-5.588,2.054,1.098,[1.385 7.133],[0.089 1.174]
2.4,67.5,0,0.39,2.325,66.048,0.232,1.874,0.495,-6.256,2.125,0.944,[1.976 2.088],[0.222 0.725]
2.4,71.25,0,0.0,,,,,,,,,[1.983 3.323],[0.258 1.083]
2.4,75.0,0,0.0,,,,,,,,,[2.025 7.493],[0.604 0.488]
2.4,78.75,0,0.0,,,,,,,,,[1.305 3.878],[0.107 1.77 ]
2.4,82.5,0,0.0,,,,,,,,,[1.609 3.866],[0.202 2.069]
2.4,86.25,0,0.0,,,,,,,,,[2.08  2.565],[0.17  1.533]
2.4,90.0,0,0.0,,,,,,,,,[1.316 2.957],[0.764 1.384]
2.5,30.0,0,0.72,2.498,27.078,0.223,8.677,0.255,-7.858,1.137,2.224,[0.977 6.404],[0.525 0.543]
2.5,33.75,0,0.78,2.491,30.766,0.225,7.363,0.289,-7.578,1.274,2.14,[2.892 7.084],[0.764 1.005]
