Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
2.5,45,166,0.95,0,2.41,41.00,0.2314,-4.9152,0.3677,-7.9248,1.5825,1.8204,[4.477 4.117],[1.048 1.797]
2.5,48.75,167,0.9,0,2.40,45.11,0.2339,-4.205,0.399,-7.9179,1.6991,1.6924,[4.608 4.15 ],[0.927 0.907]
2.5,52.5,168,0.85,0,2.39,49.16,0.2362,-3.5905,0.4305,-7.9217,1.8114,1.5656,[4.046 4.954],[1.186 0.457]
2.5,56.25,169,0.9,0,2.39,53.20,0.2387,-3.0728,0.4586,-7.9609,1.9117,1.4301,[4.571 6.744],[0.481 1.752]
2.5,60,170,0.8,0,2.38,57.16,0.2392,-2.6388,0.4815,-7.9504,2.0034,1.2931,[4.67  6.325],[0.472 1.421]
2.5,63.75,171,0.8,0.15,2.40,61.55,0.2422,-2.1782,0.5128,-7.9594,2.1068,1.1414,[5.195 5.882],[0.686 2.366]
2.5,67.5,172,0.85,0.1,2.40,65.79,0.246,-1.7781,0.5396,-7.9484,2.1859,0.9829,[4.119 4.934],[1.198 0.636]
2.5,75,173,0.7,0.2,2.37,73.58,0.2473,-1.158,0.5624,-7.9765,2.2714,0.6692,[4.322 5.911],[1.332 1.634]
2.5,78.75,174,0.45,0.45,2.37,78.06,0.2508,-0.8319,0.5803,-7.9542,2.3174,0.4902,[4.951 6.024],[0.163 1.9  ]
2.5,86.25,175,0.45,0.45,2.39,85.94,0.2566,-0.2689,0.6112,-7.9206,2.3802,0.1688,[4.984 7.447],[0.571 2.96 ]
2.5,90,176,0.7,0.15,2.41,90.03,0.2491,-0.0008,0.5989,-7.9376,2.4071,-0.0012,[4.59  3.455],[0.698 1.889]
2.6,30,177,0.55,0,2.56,24.76,0.2365,-9.1219,0.2535,-7.6981,1.0716,2.3239,[4.63 5.79],[1.125 1.017]
2.6,33.75,178,0.8,0,2.55,29.19,0.23,-7.7109,0.287,-7.7242,1.2435,2.2262,[4.506 4.814],[1.744 0.59 ]
2.6,37.5,179,0.95,0,2.55,33.71,0.2269,-6.5091,0.3237,-7.9088,1.4161,2.1225,[4.858 4.31 ],[0.698 0.731]
2.6,41.25,180,0.7,0,2.51,36.92,0.2245,-5.901,0.3392,-7.8195,1.5099,2.0095,[4.226 5.233],[1.423 1.576]
2.6,45,181,0.85,0,2.52,41.01,0.2328,-4.8566,0.3875,-7.8918,1.6529,1.9011,[4.169 5.164],[0.963 0.836]
2.6,48.75,182,0.9,0,2.50,45.11,0.2337,-4.1913,0.417,-7.9097,1.7746,1.7677,[3.892 2.665],[1.593 2.766]
2.6,52.5,183,1,0,2.50,49.16,0.2374,-3.5532,0.4534,-7.9258,1.8941,1.6372,[4.73  5.172],[1.133 1.218]
2.6,56.25,184,0.75,0,2.49,53.12,0.2377,-3.092,0.4763,-7.9615,1.9919,1.4947,[4.944 3.741],[0.655 1.796]
