Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.7,33.75,1,0.78,1.719,32.118,0.215,-7.239,0.2,-9.447,0.914,1.456,[2.172 9.371],[0.007 0.272]
1.7,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.019 4.748],[0.041 0.029]
1.7,37.5,0,0.72,1.697,35.114,0.216,-6.503,0.213,-6.796,0.976,1.388,[2.218 6.797],[0.023 0.029]
1.7,37.5,1,0.89,1.709,35.355,0.219,-6.283,0.22,-7.53,0.989,1.394,[2.23  7.546],[0.002 0.031]
1.7,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.73  8.348],[0.012 0.386]
1.7,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.821 2.627],[0.001 0.044]
1.7,41.25,1,0.67,1.694,39.251,0.219,-5.49,0.237,-6.486,1.072,1.312,[2.22  6.495],[0.006 0.022]
1.7,41.25,2,0.61,1.715,39.343,0.206,-5.796,0.226,-9.116,1.087,1.326,[2.103 9.11 ],[0.008 0.035]
1.7,45.0,0,0.61,1.675,42.508,0.23,-4.652,0.263,-7.939,1.132,1.235,[2.334 7.918],[0.012 0.24 ]
1.7,45.0,1,0.78,1.703,42.787,0.214,-4.939,0.25,-6.702,1.157,1.25,[2.172 6.709],[0.012 0.028]
1.7,45.0,2,0.89,1.709,43.53,0.214,-4.793,0.255,-7.538,1.177,1.239,[2.182 7.539],[0.003 0.048]
1.7,48.75,0,0.0,1.675,43.984,0.206,-4.964,0.24,-7.55,1.163,1.205,[2.045 7.557],[0.025 0.046]
1.7,48.75,1,0.78,1.6,46.9,0.198,-4.109,0.247,-7.292,1.168,1.093,[2.153 7.292],[0.013 0.035]
1.7,48.75,2,0.22,1.633,45.223,0.226,-4.334,0.263,-5.47,1.159,1.15,[2.304 5.324],[0.004 0.37 ]
1.7,52.5,0,0.0,1.592,49.867,0.2,-4.2,0.244,-6.605,1.217,1.026,[2.062 6.6  ],[0.    0.051]
1.7,52.5,1,0.72,1.696,50.765,0.224,-3.556,0.297,-6.034,1.314,1.073,[2.277 5.859],[0.009 0.464]
1.7,52.5,2,0.67,1.693,50.584,0.212,-3.812,0.278,-6.722,1.308,1.075,[2.151 6.305],[0.001 1.432]
1.7,56.25,0,0.94,1.69,54.927,0.221,-3.109,0.308,-6.111,1.383,0.971,[2.245 6.115],[0.046 0.018]
1.7,56.25,1,0.0,1.624,52.58,0.212,-3.605,0.272,-4.856,1.29,0.987,[2.158 4.912],[0.003 0.026]
1.7,56.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.115 5.871],[0.003 0.248]
1.7,60.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.895 9.127],[0.005 0.023]
1.7,60.0,1,0.44,1.67,58.595,0.22,-2.734,0.314,-5.91,1.425,0.87,[2.267 5.935],[0.05  0.049]
1.7,60.0,2,0.06,1.754,60.235,0.24,-2.316,0.366,-6.852,1.523,0.871,[2.421 6.879],[0.011 0.027]
1.7,63.75,0,0.33,1.667,62.328,0.219,-2.362,0.324,-5.435,1.476,0.774,[2.266 5.435],[0.025 0.019]
1.7,63.75,1,0.0,1.603,60.845,0.207,-2.679,0.29,-3.151,1.4,0.781,[2.137 3.149],[0.025 0.034]
1.7,63.75,2,0.0,1.635,61.381,0.197,-2.755,0.283,-8.409,1.435,0.783,[2.016 8.402],[0.01  0.062]
1.7,67.5,0,0.33,1.67,66.166,0.214,-2.04,0.326,-7.609,1.528,0.675,[2.177 7.588],[0.013 0.048]
1.7,67.5,1,0.06,1.631,66.091,0.222,-1.978,0.332,-8.972,1.491,0.661,[2.277 8.965],[0.041 0.029]
1.7,67.5,2,0.33,1.631,65.352,0.221,-2.044,0.328,-6.352,1.482,0.68,[2.288 6.3  ],[0.002 0.087]
1.7,71.25,0,0.44,1.668,70.316,0.222,-1.581,0.35,-5.331,1.571,0.562,[2.259 5.326],[0.047 0.04 ]
1.7,71.25,1,0.11,1.678,70.291,0.207,-1.714,0.326,-9.247,1.58,0.566,[2.116 9.235],[0.007 0.115]
1.7,71.25,2,0.44,1.613,84.056,0.201,-1.208,0.526,-6.091,1.604,0.167,[2.256 6.079],[0.    0.031]
1.7,75.0,0,0.06,1.597,73.483,0.221,-1.327,0.338,-3.453,1.531,0.454,[2.285 3.448],[0.045 0.034]
1.7,75.0,1,0.33,1.655,74.116,0.225,-1.251,0.357,-5.908,1.592,0.453,[2.292 6.072],[0.    0.391]
1.7,75.0,2,0.22,1.686,74.274,0.22,-1.254,0.357,-7.016,1.623,0.457,[2.233 7.017],[0.004 0.034]
1.7,78.75,0,0.0,1.597,77.522,0.196,-1.12,0.305,-8.576,1.559,0.345,[2.003 8.656],[0.001 0.201]
1.7,78.75,1,0.67,1.677,78.234,0.224,-0.913,0.367,-8.586,1.642,0.342,[2.289 8.59 ],[0.001 0.035]
1.7,78.75,2,0.5,1.682,78.41,0.225,-0.899,0.371,-8.016,1.648,0.338,[2.299 8.01 ],[0.002 0.059]
1.7,82.5,0,0.28,1.653,81.86,0.222,-0.626,0.363,-9.494,1.636,0.234,[2.299 9.495],[0.083 0.05 ]
1.7,82.5,1,0.33,1.68,82.029,0.222,-0.615,0.369,-8.301,1.664,0.233,[2.262 8.302],[0.01  0.028]
1.7,82.5,2,0.44,1.676,82.078,0.226,-0.603,0.374,-4.161,1.66,0.231,[2.33  4.163],[0.011 0.029]
1.7,86.25,0,0.5,1.659,86.094,0.227,-0.299,0.375,-4.552,1.655,0.113,[2.308 4.407],[0.004 0.333]
1.7,86.25,1,0.39,1.695,86.008,0.224,-0.301,0.378,-8.424,1.691,0.118,[2.291 8.419],[0.028 0.049]
1.7,86.25,2,0.0,1.658,85.988,0.216,-0.318,0.357,-8.456,1.654,0.116,[2.202 8.684],[0.001 0.427]
1.7,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.71  6.094],[0.003 0.054]
