vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
2.75,1.75,9,0.739130437374115,4.94,5.55,0.02,0.02,5.402291666666667,-3.184833333333333,-5.540333333333334,-121.7830283594929,0.19341666666666177,[0. 0.],[0. 0.],[6.43 5.64],[1.5 1.5]
3.0,0.0,7,,8.28,7.59,0.01,0.28,9.554208333333333,-0.01891666666666667,-7.493958333333334,-1.5591774705152919,0.09508333333333023,[0. 0.],[0. 0.],[6.89 2.81],[1.5 1.5]
3.0,0.0,8,0.4583333432674408,4.37,4.03,0.03,0.02,4.692458333333334,0.001875,-4.044875,-108.94641858799038,0.24941666666666862,[0. 0.],[0. 0.],[6.46 1.92],[1.5 1.5]
3.0,0.0,9,,4.33,2.6,0.0,0.0,4.609416666666666,-0.01525,-2.6014583333333334,-1.4981736773514236,0.2850000000000037,[0. 0.],[0. 0.],[4.73 1.19],[1.5 1.5]
3.0,0.25,7,0.0,6.29,5.71,0.0,0.01,8.06775,-0.6230000000000001,-6.341291666666667,-46.368153561396205,0.11391666666666585,[0. 0.],[0. 0.],[6.46 6.23],[1.5 1.5]
3.0,0.25,8,0.0,7.18,0.76,0.0,0.06,8.282083333333334,-0.6409999999999999,-0.7358333333333332,-7.842597361930541,0.13424999999998968,[0. 0.],[0. 0.],[6.2  1.91],[1.5 1.5]
3.0,0.5,7,,5.64,7.35,0.06,0.0,6.360708333333332,-1.0047916666666667,-7.3467916666666655,-2.240948639829672,0.15208333333335133,[0. 0.],[0. 0.],[3.66 6.54],[1.5 1.5]
3.0,0.5,8,0.782608687877655,4.1,3.47,0.01,0.01,4.440125,-0.6880833333333335,-3.469291666666667,-74.26752725709645,0.28608333333333186,[0. 0.],[0. 0.],[4.13 3.68],[1.5 1.5]
3.0,0.5,9,,8.36,7.4,0.0,0.0,9.705375,-1.5274999999999999,-7.396958333333334,-1.524998738573996,0.0927500000000047,[0. 0.],[0. 0.],[4.57 6.69],[1.5 1.5]
3.0,0.75,8,0.6086956262588501,4.74,5.68,0.1,0.02,5.161208333333334,-1.2013333333333334,-5.681208333333334,-119.99375080190839,0.2080833333333203,[0. 0.],[0. 0.],[4.31 6.43],[1.5 1.5]
3.0,0.75,9,,4.54,7.32,0.0,0.02,4.8722916666666665,-1.150875,-7.3302499999999995,-3.772953951792712,0.19483333333332098,[0. 0.],[0. 0.],[3.88 2.03],[1.5 1.5]
3.0,1.0,9,,13.99,7.34,0.09,0.0,19.111708333333336,-5.968374999999999,-7.3442083333333334,-0.5014137003810213,0.04766666666667163,[0. 0.],[0. 0.],[2.67 5.77],[1.5 1.5]
3.0,1.25,7,,5.08,6.03,0.03,0.13,5.5220416666666665,-2.161,-5.949833333333333,-2.256148349322222,0.18274999999999153,[0. 0.],[0. 0.],[1.44 5.03],[1.5 1.5]
3.0,1.25,9,,8.16,4.69,0.01,0.0,9.857458333333334,-3.8477083333333333,-4.691208333333333,-1.0082443146609592,0.09291666666666742,[0. 0.],[0. 0.],[3.91 4.78],[1.5 1.5]
3.0,1.5,9,,10.79,7.22,0.07,0.03,13.959958333333333,-6.5324583333333335,-7.206291666666666,-0.9844211222810458,0.061916666666675724,[0. 0.],[0. 0.],[6.5  5.46],[1.5 1.5]
3.0,1.75,7,,5.16,7.77,0.03,0.38,5.607875,-3.065416666666667,-7.6255,-2.905488745468484,0.16724999999999804,[0. 0.],[0. 0.],[4.64 6.4 ],[1.5 1.5]
3.25,0.0,8,,4.66,2.79,0.01,0.01,5.011166666666667,-0.017041666666666667,-2.7845,-1.2989805085958173,0.23875000000000193,[0. 0.],[0. 0.],[1.5  3.04],[1.5 1.5]
3.25,0.25,8,,2.17,10.12,0.0,0.0,2.259333333333333,-0.17741666666666664,-10.116583333333333,-181.785080130202,0.42149999999999704,[0. 0.],[0. 0.],[2.54 2.36],[1.5 1.5]
3.25,0.25,9,,4.77,5.77,0.01,0.01,5.179125,-0.39083333333333337,-5.771625,-2.478706070171897,0.1964166666666666,[0. 0.],[0. 0.],[2.66 2.53],[1.5 1.5]
3.25,0.5,7,,4.9,14.26,0.08,0.57,5.4126666666666665,-0.798,-14.193875,-3.3021076753410497,0.17749999999998542,[0. 0.],[0. 0.],[6.24 4.21],[1.5 1.5]
3.25,0.5,8,,5.49,7.46,0.01,0.02,5.928916666666667,-0.872875,-7.472000000000001,-2.186130462583374,0.16183333333333394,[0. 0.],[0. 0.],[6.69 5.7 ],[1.5 1.5]
3.25,0.5,9,,5.0,7.19,0.02,0.0,5.528333333333333,-0.8147916666666667,-7.188,-2.543361880679446,0.17774999999999133,[0. 0.],[0. 0.],[5.14 1.59],[1.5 1.5]
3.25,0.75,7,,4.78,5.38,0.0,0.0,5.2752083333333335,-1.1577916666666666,-5.381208333333333,-2.5633518859848703,0.18741666666664258,[0. 0.],[0. 0.],[2.05 4.17],[1.5 1.5]
3.25,1.0,7,0.6818181872367859,4.39,3.83,0.0,0.05,4.870916666666667,-1.4031666666666667,-3.8274166666666667,-116.23235867087355,0.241083333333331,[0. 0.],[0. 0.],[2.1 4.2],[1.5 1.5]
3.25,1.0,9,,7.03,10.84,0.0,0.08,7.9893333333333345,-2.32375,-10.797125000000001,-1.7462424701145016,0.11358333333333803,[0. 0.],[0. 0.],[1.38 6.55],[1.5 1.5]
3.25,1.25,7,,4.83,4.62,0.02,0.03,5.287916666666667,-1.9235416666666667,-4.6095,-2.143429843514808,0.20450000000000537,[0. 0.],[0. 0.],[4.79 1.85],[1.5 1.5]
3.25,1.25,8,,4.64,7.37,0.0,0.01,5.096333333333334,-1.8551250000000001,-7.371166666666666,-3.332921123986262,0.1870833333333266,[0. 0.],[0. 0.],[1.75 3.29],[1.5 1.5]
3.25,1.25,9,,5.13,9.2,0.04,0.1,5.764500000000001,-2.0937916666666667,-9.187583333333334,-1.800441738173915,0.16741666666666788,[0. 0.],[0. 0.],[6.84 5.52],[1.5 1.5]
3.25,1.5,7,0.46666666865348816,4.88,3.42,0.01,0.0,5.308666666666666,-2.2953333333333332,-3.4174166666666665,-99.19365306871585,0.21816666666666565,[0. 0.],[0. 0.],[6.49 3.86],[1.5 1.5]
