# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.30,-3.25,1.00,0.00
3.00,90.00,0.30,-3.25,1.00,1.00
3.00,90.00,0.30,-3.25,1.00,2.00
3.00,90.00,0.30,-3.50,1.00,0.00
3.00,90.00,0.30,-3.50,1.00,1.00
3.00,90.00,0.30,-3.50,1.00,2.00
3.00,90.00,0.30,-3.75,1.00,0.00
3.00,90.00,0.30,-3.75,1.00,1.00
3.00,90.00,0.30,-3.75,1.00,2.00
3.00,90.00,0.30,-4.00,1.00,0.00
3.00,90.00,0.30,-4.00,1.00,1.00
3.00,90.00,0.30,-4.00,1.00,2.00
3.00,90.00,0.30,-4.25,1.00,0.00
3.00,90.00,0.30,-4.25,1.00,1.00
3.00,90.00,0.30,-4.25,1.00,2.00
3.00,90.00,0.30,-4.50,1.00,0.00
3.00,90.00,0.30,-4.50,1.00,1.00
3.00,90.00,0.30,-4.50,1.00,2.00
3.00,90.00,0.30,-4.75,1.00,0.00
3.00,90.00,0.30,-4.75,1.00,1.00
3.00,90.00,0.30,-4.75,1.00,2.00
3.00,90.00,0.30,-5.00,1.00,0.00
3.00,90.00,0.30,-5.00,1.00,1.00
3.00,90.00,0.30,-5.00,1.00,2.00
3.00,90.00,0.30,-5.25,1.00,0.00
3.00,90.00,0.30,-5.25,1.00,1.00
3.00,90.00,0.30,-5.25,1.00,2.00
3.00,90.00,0.30,-5.50,1.00,0.00
3.00,90.00,0.30,-5.50,1.00,1.00
3.00,90.00,0.30,-5.50,1.00,2.00
3.00,90.00,0.30,-5.75,1.00,0.00
3.00,90.00,0.30,-5.75,1.00,1.00
3.00,90.00,0.30,-5.75,1.00,2.00
3.00,90.00,0.30,-6.00,1.00,0.00
3.00,90.00,0.30,-6.00,1.00,1.00
3.00,90.00,0.30,-6.00,1.00,2.00
3.00,90.00,0.30,-6.25,1.00,0.00
3.00,90.00,0.30,-6.25,1.00,1.00
3.00,90.00,0.30,-6.25,1.00,2.00
3.00,90.00,0.30,-6.50,1.00,0.00
3.00,90.00,0.30,-6.50,1.00,1.00
3.00,90.00,0.30,-6.50,1.00,2.00
