obs,actions,next_obs,dones
0.05231922;0.080006815;-0.14690202;-1.0,0.13940877;-0.22606744,0.050319225;0.08228742;-0.16422254;-1.0,False
0.050319225;0.08228742;-0.16422254;-1.0,-0.24607466;-0.89319205,0.048319224;0.084701866;-0.18154305;-1.0,False
0.048319224;0.084701866;-0.18154305;-1.0,1.0;-1.0,0.048319224;0.084701866;-0.18154305;-1.0,True
0.099069074;0.048552524;0.25796375;-1.0,-0.08287057;0.9248569,0.09706908;0.049383104;0.24064323;-1.0,False
0.09706908;0.049383104;0.24064323;-1.0,-0.056023233;-0.89342934,0.09506907;0.050242595;0.22332273;-1.0,False
0.09506907;0.050242595;0.22332273;-1.0,-0.14765935;-0.25366572,0.09306908;0.051132534;0.20600222;-1.0,False
0.09306908;0.051132534;0.20600222;-1.0,0.12565583;0.17790717,0.09106908;0.052054565;0.1886817;-1.0,False
0.09106908;0.052054565;0.1886817;-1.0,-0.18472673;0.6964167,0.089069076;0.053010464;0.17136121;-1.0,False
0.089069076;0.053010464;0.17136121;-1.0,-0.001007512;-0.9073972,0.08706908;0.054002125;0.1540407;-1.0,False
0.08706908;0.054002125;0.1540407;-1.0,-0.0134559935;0.32891637,0.08506908;0.055031594;0.1367202;-1.0,False
0.08506908;0.055031594;0.1367202;-1.0,-0.21130858;0.07836785,0.08306908;0.056101076;0.11939968;-1.0,False
0.08306908;0.056101076;0.11939968;-1.0,-0.023465762;-0.16025238,0.08106908;0.057212953;0.102079175;-1.0,False
0.08106908;0.057212953;0.102079175;-1.0,0.1797944;0.8420735,0.079069085;0.058369793;0.08475866;-1.0,False
0.079069085;0.058369793;0.08475866;-1.0,0.16985759;0.46376,0.07706908;0.05957438;0.067438155;-1.0,False
0.07706908;0.05957438;0.067438155;-1.0,-0.11210019;0.71949255,0.075069085;0.060829733;0.05011765;-1.0,False
0.075069085;0.060829733;0.05011765;-1.0,0.0005389283;-0.17689797,0.07306909;0.06213913;0.03279714;-1.0,False
0.07306909;0.06213913;0.03279714;-1.0,0.009269825;0.47946626,0.071069084;0.06350614;0.015476633;-1.0,False
0.071069084;0.06350614;0.015476633;-1.0,0.0759053;0.97991,0.06906909;0.06493465;-0.0018438755;-1.0,False
0.06906909;0.06493465;-0.0018438755;-1.0,0.094166465;0.08316456,0.06706909;0.0664289;-0.019164383;-1.0,False
0.06706909;0.0664289;-0.019164383;-1.0,-0.14534853;0.74931026,0.06506909;0.067993544;-0.036484893;-1.0,False
0.06506909;0.067993544;-0.036484893;-1.0,-0.17667806;-0.6263888,0.06306909;0.06963368;-0.0538054;-1.0,False
