obs,actions,next_obs,rewards,dones
0.06499358;0.068054065;-0.03713883;-1.0,0.06589272;-0.6639278,0.06299358;0.06969715;-0.054459337;-1.0,0.0,0
0.06299358;0.06969715;-0.054459337;-1.0,0.07798238;0.9162813,0.060993582;0.071421534;-0.07177985;-1.0,0.0,0
0.060993582;0.071421534;-0.07177985;-1.0,-0.11675614;0.9907453,0.05899358;0.07323342;-0.08910035;-1.0,0.0,0
0.05899358;0.07323342;-0.08910035;-1.0,-0.10333794;-0.6081321,0.056993585;0.07513962;-0.10642086;-1.0,0.0,0
0.056993585;0.07513962;-0.10642086;-1.0,0.0039587277;0.17957331,0.054993585;0.07714771;-0.12374137;-1.0,0.0,0
0.054993585;0.07714771;-0.12374137;-1.0,-0.14206788;0.36985105,0.052993584;0.07926607;-0.14106187;-1.0,0.0,0
0.052993584;0.07926607;-0.14106187;-1.0,-0.20779319;-0.28140074,0.050993588;0.081504054;-0.15838239;-1.0,0.0,0
0.050993588;0.081504054;-0.15838239;-1.0,0.1192819;-0.27346107,0.048993587;0.08387209;-0.1757029;-1.0,0.0,0
0.048993587;0.08387209;-0.1757029;-1.0,0.71201354;-1.0,0.048993587;0.08387209;-0.1757029;-1.0,0.8632688577349444,1
0.09787113;0.04904663;0.24758926;-1.0,0.15262814;0.31719816,0.095871136;0.049894348;0.23026876;-1.0,0.0,0
0.095871136;0.049894348;0.23026876;-1.0,-0.16933113;-0.60994565,0.09387113;0.05077188;0.21294825;-1.0,0.0,0
0.09387113;0.05077188;0.21294825;-1.0,-0.0314903;-0.07767337,0.091871135;0.05168084;0.19562773;-1.0,0.0,0
0.091871135;0.05168084;0.19562773;-1.0,-0.0030470178;-0.40328935,0.08987114;0.052622937;0.17830724;-1.0,0.0,0
0.08987114;0.052622937;0.17830724;-1.0,0.041212328;-0.26588863,0.087871134;0.053600017;0.16098672;-1.0,0.0,0
0.087871134;0.053600017;0.16098672;-1.0,-0.11233636;-0.6200299,0.08587114;0.054614067;0.14366621;-1.0,0.0,0
0.08587114;0.054614067;0.14366621;-1.0,-0.11781026;0.7751167,0.08387114;0.05566723;0.12634571;-1.0,0.0,0
0.08387114;0.05566723;0.12634571;-1.0,-0.20547244;-0.11768014,0.08187114;0.05676181;0.109025195;-1.0,0.0,0
0.08187114;0.05676181;0.109025195;-1.0,-0.08547325;-0.90696496,0.07987114;0.057900295;0.09170469;-1.0,0.0,0
0.07987114;0.057900295;0.09170469;-1.0,-0.11961194;0.6557924,0.077871144;0.059085384;0.07438418;-1.0,0.0,0
0.077871144;0.059085384;0.07438418;-1.0,0.083575875;-0.4559759,0.07587114;0.06032;0.057063673;-1.0,0.0,0
0.07587114;0.06032;0.057063673;-1.0,-0.13268748;0.5960655,0.07387114;0.061607312;0.039743166;-1.0,0.0,0
0.07387114;0.061607312;0.039743166;-1.0,0.1062777;-0.067283556,0.07187115;0.06295077;0.022422656;-1.0,0.0,0
0.07187115;0.06295077;0.022422656;-1.0,-0.119994104;0.44801307,0.06987114;0.06435413;0.005102149;-1.0,0.0,0
0.06987114;0.06435413;0.005102149;-1.0,-0.18736354;0.84008807,0.067871146;0.065821484;-0.012218359;-1.0,0.0,0
0.067871146;0.065821484;-0.012218359;-1.0,0.05091739;0.8841249,0.06587115;0.06735731;-0.029538866;-1.0,0.0,0
0.06587115;0.06735731;-0.029538866;-1.0,0.16303965;-0.6243511,0.063871145;0.06896652;-0.046859376;-1.0,0.0,0
0.063871145;0.06896652;-0.046859376;-1.0,-0.22053057;0.4211319,0.06187115;0.07065451;-0.06417988;-1.0,0.0,0
0.06187115;0.07065451;-0.06417988;-1.0,-0.11556931;-0.9146102,0.05987115;0.0724272;-0.08150039;-1.0,0.0,0
0.05987115;0.0724272;-0.08150039;-1.0,-0.16330831;-0.62689006,0.05787115;0.074291125;-0.0988209;-1.0,0.0,0
0.05787115;0.074291125;-0.0988209;-1.0,-0.14444196;-0.25831923,0.05587115;0.076253526;-0.11614141;-1.0,0.0,0
0.05587115;0.076253526;-0.11614141;-1.0,-0.14665295;0.43684494,0.05387115;0.07832241;-0.13346192;-1.0,0.0,0
0.05387115;0.07832241;-0.13346192;-1.0,0.13156618;0.030073483,0.051871154;0.08050669;-0.15078242;-1.0,0.0,0
0.051871154;0.08050669;-0.15078242;-1.0,-0.10577192;-0.47752124,0.049871154;0.0828163;-0.16810293;-1.0,0.0,0
