vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.2,45.0,0,1.0,0.2247,-4.8632,0.3259,-7.2816,1.4428,1.6005,0.0032,0.1961,0.0123,0.2603,0.0464,0.0171,[0.486 6.677],[0.259 0.205]
2.2,48.75,0,1.0,0.2229,-4.2551,0.3486,-7.1223,1.5518,1.5011,0.0024,0.1276,0.0084,0.1848,0.0368,0.0233,[0.806 6.34 ],[0.176 0.705]
2.2,52.5,0,1.0,0.2228,-3.7736,0.363,-6.8712,1.6215,1.3821,0.0025,0.1203,0.0097,0.2215,0.0331,0.0221,[0.487 7.252],[0.084 0.433]
2.2,56.25,0,1.0,0.2251,-3.1391,0.3939,-6.3066,1.7454,1.2454,0.004,0.1752,0.0206,0.444,0.0608,0.0162,[1.604 3.461],[0.722 0.982]
2.2,60.0,0,1.0,0.2261,-2.7547,0.405,-5.9741,1.7848,1.1279,0.0048,0.131,0.0194,0.499,0.0501,0.0167,[0.771 4.729],[0.31  1.128]
2.2,63.75,0,1.0,0.2309,-2.3061,0.428,-5.4062,1.8504,1.0002,0.0026,0.0485,0.0091,0.2689,0.0243,0.0135,[0.717 4.86 ],[0.135 0.885]
2.2,67.5,0,0.3889,0.2317,-1.9051,0.4494,-5.569,1.9337,0.8727,0.0012,0.0465,0.0084,0.1868,0.0317,0.0175,[1.078 9.175],[0.276 1.393]
2.2,71.25,0,0.0,,,,,,,,,,,,,[1.74  3.518],[0.14  0.645]
2.2,75.0,0,0.0,,,,,,,,,,,,,[1.426 7.396],[0.719 0.452]
2.2,78.75,0,0.0,,,,,,,,,,,,,[2.071 5.896],[1.15  1.219]
2.2,82.5,0,0.0,,,,,,,,,,,,,[1.338 4.03 ],[0.774 1.052]
2.2,86.25,0,0.0,,,,,,,,,,,,,[2.271 6.627],[0.247 1.179]
2.2,90.0,0,0.0,,,,,,,,,,,,,[2.208 2.871],[0.435 2.829]
