t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
4.995,0.00011256862774581332,0.004313116523048549,0.5857664669516659,0.9975143084484099,-0.06914985009328202,0.013044890519398887,-0.003651507100344396,0.02431855849655402,0.12121975064400793,2.5496475511635417,-1.3049933244139031,0.22637720170579945,-0.059372297960751635
5.0,0.00024085499360826273,0.0049514717344229095,0.5986006886550075,0.997273260199649,-0.07245061705780112,0.013513252940783834,-0.0037874230903358116,0.026547213218194643,0.13200937760265408,2.5782165390617924,-1.3468394181118855,0.16041328139698147,-0.04302347566835233
5.005,0.00038017981015568654,0.005645591522947305,0.6115805497953092,0.9970120569391926,-0.07588689412345817,0.013887410872590872,-0.003908636262331973,0.028734091942374126,0.1434456017868849,2.607803483872452,-1.398304217775119,0.15589249223086118,-0.040966559735904615
5.01,0.0005303010879303717,0.006398917982123939,0.6247081915158909,0.9967328221833508,-0.07938541727030916,0.0143304791766607,-0.004034113756304078,0.030891091255379727,0.15558019943511917,2.637337902848836,-1.3967119762721742,0.19727146061233403,-0.04744601864499112
5.014,0.0006583513862236193,0.007046692534336443,0.635316530483799,0.9965047197708181,-0.08212097699522872,0.014742784358237605,-0.004139918018378018,0.03269948283542659,0.1658158357367115,2.6609292589772573,-1.3566294404563226,0.21021142239309876,-0.05071711134197207
5.019,0.0008290522478410134,0.007914869086668238,0.6487062155561804,0.99621329458189,-0.08550158740451268,0.015179766643634764,-0.004257338869485391,0.03511655946224089,0.17878329215748828,2.6885637209116893,-1.3822644221088398,0.13278185019905744,-0.027165177577520835
5.024,0.0010120475195164265,0.008850163718098176,0.6622370217862569,0.9959038834347974,-0.08898076216531789,0.015459464374604,-0.004345559252708033,0.03759767626723368,0.1926344001162148,2.717890041688973,-1.4112777944219757,0.11484883283208394,-0.023439657511912564
5.028,0.0011674358655896673,0.009649139377145875,0.6731666965222255,0.9956420170441387,-0.09181885380940734,0.015708204157293116,-0.004418631412382234,0.039602309897378174,0.20400986797884224,2.7408659461500147,-1.425777352495083,0.13088226929040073,-0.028180932476488688
5.034,0.0014149406233215204,0.010929971506498737,0.6897035743937129,0.9952765681517671,-0.09564350144200251,0.016000998060528716,-0.004565258045429999,0.04230382659896871,0.22013300734844957,2.7660134663545515,-1.1222063111957206,0.17312784523181107,-0.04474717465406469
5.039,0.0016337563748927849,0.012067085039498405,0.7035810796262688,0.9949738255316034,-0.09870854953016933,0.016216501434065073,-0.0045534424225593595,0.04478243589622671,0.23188910265224927,2.77981943004666,-1.4056697270151195,-0.100395735753425,0.09772881102794367
5.043,0.0018175496119672396,0.013017574903891249,0.7147130918698521,0.9947536210912252,-0.10106236325756263,0.015219298027800317,-0.0044726978695597,0.04645587999732819,0.24043398444122538,2.7824241275804837,-1.1075276690756604,-0.6614893525948451,0.09334611751134954
5.048,0.0020509429148183214,0.014243583805765087,0.7285962880071916,0.9944998127045549,-0.10367916245221012,0.0141021694750144,-0.004677886265361356,0.046613305920576595,0.24839458741994935,2.772794639267208,-1.0569409550832698,-0.0344436394808252,-0.11416186673222793
5.053,0.002287204478865438,0.01551796943167766,0.7424647520585156,0.9942513609215078,-0.10594178232687262,0.014722963494567856,-0.0048789762320566085,0.047651491746908706,0.25835870498999813,2.770650732006202,-0.8847368069512219,0.3556828505947055,-0.04362546714299086
