V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,Policy_Trg_Action_trg,Policy_Rot_Action_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,54,--,0,False,False,False,--,0.0,-94.164,2.487,59.971,0.0,0.0,0.21,0.311,1.861,0.669,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.385 0.914 0.492 0.5  ]
2.5,60,0,55,--,0,False,False,False,--,0.0,-94.102,2.5,59.966,0.0,0.0,0.213,0.313,1.848,0.677,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.386 0.913 0.492 1.   ]
2.5,60,0,56,--,0,False,False,False,--,0.0,-93.942,2.5,59.966,0.0,0.0,0.212,0.312,1.852,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.858 0.567 1.   ]
2.5,60,0,57,--,0,False,False,False,--,0.0,-89.563,2.499,59.954,0.0,0.0,0.217,0.317,1.827,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.396 0.896 0.497 1.   ]
2.5,60,0,58,--,0,False,False,False,--,0.0,-84.557,2.502,60.02,0.0,0.0,0.217,0.317,1.819,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.409 0.872 0.532 1.   ]
2.5,60,0,59,--,0,False,False,False,--,0.0,-94.398,2.501,60.004,0.0,0.0,0.209,0.309,1.866,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.384 0.917 0.491 0.5  ]
2.5,60,0,60,--,0,False,False,False,--,0.0,-83.528,2.501,59.971,0.0,0.0,0.217,0.317,1.823,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.405 0.887 0.499 1.   ]
2.5,60,0,61,--,0,False,False,False,--,0.0,-94.339,2.492,59.902,0.0,0.0,0.209,0.31,1.871,0.668,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.386 0.911 0.493 0.5  ]
2.5,60,0,62,--,0,False,False,False,--,0.0,-93.082,2.499,59.954,0.0,0.0,0.213,0.313,1.847,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.407 0.86  0.562 1.   ]
2.5,60,0,63,--,0,False,False,False,--,0.0,-93.138,2.5,59.965,0.0,0.0,0.211,0.311,1.861,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.405 0.865 0.549 0.5  ]
2.5,60,0,64,--,0,False,False,False,--,0.0,-87.189,2.501,59.972,0.0,0.0,0.219,0.319,1.815,0.69,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.414 0.852 0.582 1.   ]
2.5,60,0,65,--,0,False,False,False,--,0.0,-82.639,2.503,60.015,0.0,0.0,0.218,0.318,1.814,0.689,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.403 0.893 0.498 1.   ]
2.5,60,0,66,--,0,False,False,False,--,0.0,-86.797,2.5,59.956,0.0,0.0,0.218,0.318,1.821,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.391 0.914 0.492 1.   ]
2.5,60,0,67,--,0,False,False,False,--,0.0,-83.891,2.503,59.992,0.0,0.0,0.218,0.318,1.818,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.408 0.877 0.519 1.   ]
2.5,60,0,68,--,0,False,False,False,--,0.0,-92.942,2.5,59.974,0.0,0.0,0.211,0.311,1.859,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.381 0.925 0.488 1.   ]
2.5,60,0,69,--,0,False,False,False,--,0.0,-91.606,2.5,59.976,0.0,0.0,0.214,0.314,1.839,0.68,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.401 0.88  0.512 1.   ]
2.5,60,0,70,--,0,False,False,False,--,0.0,-92.999,2.497,59.923,0.0,0.0,0.213,0.313,1.849,0.677,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.384 0.92  0.49  1.   ]
2.5,60,0,71,--,0,False,False,False,--,0.0,-84.053,2.501,59.976,0.0,0.0,0.218,0.318,1.819,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.406 0.882 0.506 1.   ]
2.5,60,0,72,--,0,False,False,False,--,0.0,-86.429,2.502,59.992,0.0,0.0,0.216,0.316,1.826,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.412 0.86  0.564 1.   ]
2.5,60,0,73,--,0,False,False,False,--,0.0,-93.945,2.5,59.95,0.0,0.0,0.211,0.311,1.859,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.406 0.859 0.565 1.   ]
2.5,60,0,74,--,0,False,False,False,--,0.0,-91.806,2.502,60.006,0.0,0.0,0.214,0.314,1.838,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.403 0.872 0.531 1.   ]
2.5,60,0,75,--,0,False,False,False,--,0.0,-91.315,2.503,59.983,0.0,0.0,0.215,0.315,1.835,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.379 0.933 0.486 1.   ]
2.5,60,0,76,--,0,False,False,False,--,0.0,-92.872,2.501,59.978,0.0,0.0,0.211,0.311,1.861,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.381 0.925 0.488 0.5  ]
2.5,60,0,77,--,0,False,False,False,--,0.0,-90.191,2.499,60.019,0.0,0.0,0.218,0.318,1.817,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,--,0,[1.    0.835 0.397 0.891 0.498 1.   ]
2.5,60,0,78,--,0,False,False,False,--,0.0,-90.704,2.501,59.989,0.0,0.0,0.216,0.316,1.829,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.398 0.887 0.499 1.   ]
2.5,60,0,79,--,0,False,False,False,--,0.0,-90.42,2.509,60.079,0.0,0.0,0.213,0.313,1.839,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.398 0.889 0.499 1.   ]
2.5,60,0,80,--,0,False,False,False,--,0.0,-87.478,2.496,60.017,0.0,0.0,0.216,0.316,1.827,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.414 0.849 0.588 1.   ]
2.5,60,0,81,--,0,False,False,False,--,0.0,-89.185,2.499,59.937,0.0,0.0,0.216,0.316,1.832,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.395 0.898 0.496 1.   ]
2.5,60,0,82,--,0,False,False,False,--,0.0,-89.285,2.502,59.988,0.0,0.0,0.216,0.316,1.829,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.397 0.893 0.498 1.   ]
2.5,60,0,83,--,0,False,False,False,--,0.0,-91.019,2.5,59.955,0.0,0.0,0.215,0.315,1.837,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.399 0.884 0.5   1.   ]
2.5,60,0,84,--,0,False,False,False,--,0.0,-94.179,2.502,60.042,0.0,0.0,0.209,0.309,1.864,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.406 0.859 0.565 0.5  ]
2.5,60,0,85,--,0,False,False,False,--,0.0,-88.318,2.503,59.998,0.0,0.0,0.217,0.317,1.824,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.394 0.904 0.495 1.   ]
