V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,55,--,4,False,True,False,--,0.833,-88.712,2.5,30.0,2.5,30.0,0.216,0.316,1.826,0.468,0.685,--,-137.072,137.072,-18.749,0.356,1.112,nan,nan,nan,nan,--,0.835,[1.    0.849 0.477 0.719 0.862 1.   ],[ 0.824 -0.758  0.093  0.118],[-100    0]
2.5,60,0,56,--,4,False,True,False,--,0.603,-83.626,2.5,30.0,2.5,30.0,0.218,0.318,1.816,0.472,0.688,--,-138.251,138.251,-18.166,0.386,0.991,nan,nan,nan,nan,--,0.839,[1.    0.836 0.49  0.709 0.879 1.   ],[ 0.649 -0.671  0.096  0.143],[-100    0]
2.5,60,0,57,--,4,False,True,False,--,0.815,-89.318,2.5,30.0,2.5,30.0,0.216,0.316,1.828,0.467,0.684,--,-136.92,136.92,-18.795,0.355,1.126,nan,nan,nan,nan,--,0.834,[1.    0.853 0.476 0.72  0.859 1.   ],[ 0.854 -0.777  0.092  0.112],[-100    0]
2.5,60,0,58,--,4,False,True,False,--,0.964,-93.804,2.5,30.0,2.5,30.0,0.212,0.312,1.851,0.459,0.675,--,-133.928,133.928,-19.233,0.333,1.245,nan,nan,nan,nan,--,0.825,[1.    0.888 0.461 0.743 0.815 1.   ],[ 0.961 -0.869  0.086  0.075],[-100    0]
2.5,60,0,59,--,4,False,True,False,--,0.948,-92.794,2.5,30.0,2.5,30.0,0.214,0.314,1.84,0.463,0.679,--,-134.621,134.621,-19.131,0.338,1.219,nan,nan,nan,nan,--,0.827,[1.    0.87  0.464 0.738 0.825 1.   ],[ 0.943 -0.851  0.089  0.087],[-100    0]
2.5,60,0,60,--,4,False,True,False,--,0.949,-93.931,2.5,30.0,2.5,30.0,0.212,0.312,1.853,0.458,0.675,--,-134.127,134.127,-19.26,0.332,1.245,nan,nan,nan,nan,--,0.826,[1.    0.889 0.461 0.742 0.818 1.   ],[ 0.962 -0.87   0.086  0.074],[-100    0]
2.5,60,0,61,--,4,False,True,False,--,0.529,-83.13,2.5,30.0,2.5,30.0,0.219,0.318,1.813,0.473,0.689,--,-138.49,138.49,-18.135,0.387,0.977,nan,nan,nan,nan,--,0.84,[1.    0.831 0.492 0.708 0.883 1.   ],[ 0.568 -0.638  0.097  0.153],[-100    0]
2.5,60,0,62,--,4,False,True,False,--,0.772,-80.808,2.5,30.0,2.5,30.0,0.217,0.317,1.821,0.47,0.686,--,-137.572,137.572,-17.838,0.403,0.935,nan,nan,nan,nan,--,0.838,[1.    0.843 0.494 0.715 0.869 1.   ],[ 0.752 -0.719  0.094  0.129],[-100    0]
2.5,60,0,63,--,4,False,True,False,--,0.969,-93.146,2.5,30.0,2.5,30.0,0.21,0.31,1.864,0.454,0.671,--,-131.801,131.801,-19.064,0.345,1.255,nan,nan,nan,nan,--,0.819,[1.    0.907 0.456 0.759 0.783 1.   ],[ 0.971 -0.877  0.085  0.064],[-100    0]
2.5,60,0,64,--,4,False,True,False,--,0.968,-94.292,2.5,30.0,2.5,30.0,0.212,0.312,1.851,0.459,0.675,--,-133.493,133.493,-19.245,0.334,1.259,nan,nan,nan,nan,--,0.824,[1.    0.887 0.459 0.746 0.808 1.   ],[ 0.96  -0.868  0.086  0.075],[-100    0]
2.5,60,0,65,--,4,False,True,False,--,0.954,-92.623,2.5,30.0,2.5,30.0,0.213,0.313,1.844,0.461,0.678,--,-134.347,134.347,-19.093,0.341,1.218,nan,nan,nan,nan,--,0.826,[1.    0.877 0.464 0.74  0.821 1.   ],[ 0.953 -0.862  0.087  0.081],[-100    0]
2.5,60,0,66,--,4,False,True,False,--,0.614,-84.285,2.5,30.0,2.5,30.0,0.219,0.319,1.813,0.473,0.69,--,-139.343,139.343,-18.252,0.382,0.994,nan,nan,nan,nan,--,0.843,[1.    0.83  0.493 0.701 0.895 1.   ],[ 0.555 -0.633  0.097  0.154],[-100    0]
2.5,60,0,67,--,4,False,True,False,--,0.745,-84.596,2.5,30.0,2.5,30.0,0.217,0.317,1.821,0.47,0.686,--,-137.816,137.816,-18.287,0.38,1.017,nan,nan,nan,nan,--,0.838,[1.    0.843 0.487 0.713 0.873 1.   ],[ 0.758 -0.722  0.094  0.128],[-100    0]
2.5,60,0,68,--,4,False,True,False,--,0.96,-92.902,2.5,30.0,2.5,30.0,0.213,0.313,1.844,0.462,0.678,--,-134.794,134.794,-19.155,0.337,1.219,nan,nan,nan,nan,--,0.828,[1.    0.877 0.465 0.736 0.828 1.   ],[ 0.952 -0.862  0.087  0.082],[-100    0]
2.5,60,0,69,--,4,False,True,False,--,0.871,-87.114,2.5,30.0,2.5,30.0,0.215,0.315,1.831,0.466,0.683,--,-136.672,136.672,-18.564,0.366,1.083,nan,nan,nan,nan,--,0.834,[1.    0.858 0.479 0.722 0.856 1.   ],[ 0.885 -0.799  0.091  0.105],[-100    0]
2.5,60,0,70,--,4,False,True,False,--,0.953,-92.58,2.5,30.0,2.5,30.0,0.213,0.313,1.846,0.461,0.677,--,-134.28,134.28,-19.084,0.342,1.218,nan,nan,nan,nan,--,0.826,[1.    0.88  0.464 0.74  0.82  1.   ],[ 0.956 -0.865  0.087  0.079],[-100    0]
2.5,60,0,71,--,4,False,True,False,--,0.968,-94.01,2.5,30.0,2.5,30.0,0.212,0.312,1.852,0.459,0.675,--,-134.152,134.152,-19.209,0.336,1.247,nan,nan,nan,nan,--,0.826,[1.    0.888 0.462 0.741 0.818 1.   ],[ 0.961 -0.869  0.086  0.074],[-100    0]
2.5,60,0,72,--,4,False,True,False,--,0.971,-92.911,2.5,30.0,2.5,30.0,0.212,0.312,1.853,0.458,0.675,--,-133.712,133.712,-19.132,0.338,1.23,nan,nan,nan,nan,--,0.825,[1.    0.89  0.461 0.745 0.812 1.   ],[ 0.962 -0.87   0.086  0.073],[-100    0]
2.5,60,0,73,--,4,False,True,False,--,0.97,-94.187,2.5,30.0,2.5,30.0,0.21,0.31,1.862,0.455,0.671,--,-132.231,132.231,-19.196,0.337,1.271,nan,nan,nan,nan,--,0.82,[1.    0.904 0.456 0.756 0.79  1.   ],[ 0.969 -0.876  0.085  0.066],[-100    0]
2.5,60,0,74,--,4,False,True,False,--,0.643,-80.374,2.5,30.0,2.5,30.0,0.218,0.318,1.815,0.472,0.689,--,-138.787,138.787,-17.77,0.407,0.912,nan,nan,nan,nan,--,0.842,[1.    0.834 0.5   0.705 0.887 1.   ],[ 0.628 -0.662  0.096  0.146],[-100    0]
2.5,60,0,75,--,4,False,True,False,--,0.967,-94.171,2.5,30.0,2.5,30.0,0.209,0.309,1.868,0.453,0.669,--,-132.205,132.205,-19.192,0.338,1.271,nan,nan,nan,nan,--,0.821,[1.    0.912 0.456 0.756 0.789 1.   ],[ 0.973 -0.88   0.084  0.062],[-100    0]
2.5,60,0,76,--,4,False,True,False,--,0.967,-93.495,2.5,30.0,2.5,30.0,0.212,0.311,1.854,0.458,0.674,--,-133.442,133.442,-19.166,0.338,1.245,nan,nan,nan,nan,--,0.824,[1.    0.891 0.46  0.747 0.808 1.   ],[ 0.963 -0.87   0.086  0.073],[-100    0]
