Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
3.736515000000014,1000,,,,0,0.0078125,-1.05078125,,-2.848482336782838,24.924001693725586,0.0341796875,0,0,0.8518945891410112,,0,,0,,,0.40401704609394073,0.0625,0.030122673966665993,1,1,0,0,0,0,0,0,,
3.748015000000014,1000,,,,0,0.00390625,-0.98828125,-0.0006499276071614696,,24.922000885009766,0.01953125,0,0,0.486757829785347,0,0,0,0,0.11041061952710152,-0.4111975431442261,,0.0625,0.03008933617354197,1,1,0,0,0,0,0,0,,
3.7584400000000024,1000,,,,0,0.005859375,-0.98828125,-0.0006964247134129815,-2.848482336782838,24.926002502441406,0.01953125,0,0,0.4868359863758087,0,0,0,0,0.11041061952710152,-0.4108925350010395,0.40401704609394073,0.0625,0.030049707239443623,1,1,0,0,0,0,0,0,,
3.770875000000029,1000,,,,0,0.00390625,-0.986328125,,-2.638348393905415,24.92533302307129,0.0325520820915699,0,0,0.8113714867267348,,0,,0,,,0.4042265936732292,0.0625,0.030060653851838277,1,1,0,0,0,0,0,0,,
3.778070000000036,1000,,,,0,0.005859375,-1.01953125,-0.00103992561586483,-2.638348393905415,24.920001983642578,0.0341796875,0,0,0.8517578803002834,0,0,0,0,0.11100433766841888,-0.40922779589891434,0.4042265936732292,0.0625,0.03006963110756768,1,1,0,0,0,0,0,0,,
3.7872400000000197,1000,,,,0,0.0078125,-0.98828125,-0.0011637730013603887,,24.928001403808594,0,0,0,0,0,0,0,0,0.1118239015340805,-0.40922779589891434,,0.0625,0.029984166173497407,1,1,0,0,0,0,0,0,,
3.795290000000008,1000,,,,0,0.0078125,-0.990234375,,-2.813460012969934,24.926002502441406,0.0439453125,0,0,1.0953809693455696,,0,,0,,,0.4040519706904888,0.0625,0.030018991534584746,1,1,0,0,0,0,0,0,,
3.80325,1000,,,,0,0.00390625,-0.98828125,-0.0014102183921140862,,24.920001983642578,0.009765625,0,0,0.24335939437150955,0,0,0,0,0.11386815458536148,-0.40963757783174515,,0.0625,0.029968343616353924,1,1,0,0,0,0,0,0,,
3.8183999999999942,1000,,,,0,0.0078125,-0.9921875,,-3.091303781885637,24.924001693725586,0.029296875,0,0,0.7301953621208668,,0,,0,,,0.4037749022245407,0.0625,0.029965108116148408,1,1,0,0,0,0,0,0,,
3.8269349999999975,1000,,,,0,0.005859375,-0.990234375,-0.0008097409152171438,-4.576250311552756,24.925336837768555,0.0390625,0,0,0.9736459702253342,0,0,0,0,0.11127558536827564,-0.4110066220164299,0.4022940993309021,0.0625,0.029989753745642785,1,1,0,0,0,0,0,0,,
3.8350550000000223,1000,,,,0,0.00390625,-0.98828125,,-4.576250311552756,24.924001693725586,0.0439453125,0,0,1.0952930431813002,,0,,0,,,0.4022940993309021,0.0625,0.03002467450151247,1,1,0,0,0,0,0,0,,
