vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.1,86.25,0.7,0.1,0.1812,-0.2915,0.3609,-7.4381,1.6801,0.0821,0.0811,0.2464,0.1607,0.4472,0.6897,0.2858,[4.207 5.395],[0.914 1.029]
2.1,90.0,0.85,0.0,0.2096,-0.0024,0.4088,-7.8171,1.8311,0.0016,0.0542,0.0058,0.1068,0.1534,0.4773,0.0042,[5.007 4.869],[1.106 1.494]
2.2,30.0,0.9,0.0,0.1976,-8.5464,0.1798,-7.8628,0.8181,1.7333,0.07,3.0551,0.0641,0.0788,0.292,0.6132,[3.201 4.768],[2.1   0.908]
2.2,33.75,0.9,0.05,0.2031,-7.8612,0.2121,-7.9151,0.9916,1.7681,0.0493,1.9729,0.053,0.0697,0.2454,0.4292,[5.12  3.426],[0.361 2.174]
2.2,37.5,0.9,0.0,0.1896,-6.2376,0.2251,-7.8939,1.0589,1.5842,0.0671,2.2394,0.0808,0.1062,0.3782,0.5604,[4.972 4.044],[0.813 1.207]
2.2,41.25,1.0,0.0,0.1908,-5.634,0.2442,-7.8702,1.1562,1.5333,0.0637,1.9055,0.0823,0.1404,0.3885,0.5114,[5.517 4.673],[0.523 1.205]
2.2,45.0,1.0,0.0,0.2114,-5.3517,0.2979,-7.8856,1.4109,1.599,0.0025,0.2917,0.0134,0.0835,0.0534,0.0221,[5.424 5.305],[0.602 1.629]
2.2,48.75,0.95,0.0,0.2108,-4.7239,0.3149,-7.918,1.499,1.4912,0.0027,0.2327,0.0142,0.0573,0.052,0.0192,[4.457 4.749],[0.826 0.731]
2.2,52.5,1.0,0.0,0.2003,-3.8441,0.3198,-7.9051,1.52,1.298,0.0461,0.8925,0.0741,0.1164,0.3502,0.298,[4.89  4.884],[0.538 2.51 ]
2.2,56.25,1.0,0.0,0.2029,-3.313,0.34,-7.9029,1.5968,1.1918,0.0466,0.7683,0.0787,0.0765,0.3685,0.2737,[5.122 5.593],[0.7  0.69]
2.2,60.0,0.85,0.1,0.1977,-2.8991,0.3448,-7.8782,1.6462,1.0651,0.0495,0.7302,0.0868,0.0866,0.4136,0.2666,[4.265 4.394],[1.1   0.782]
2.2,63.75,1.0,0.0,0.2003,-2.4535,0.365,-7.8637,1.7344,0.9458,0.0461,0.5676,0.0842,0.1031,0.3999,0.2172,[4.215 6.094],[1.051 2.64 ]
2.2,67.5,0.85,0.15,0.2124,-2.1482,0.3996,-7.8271,1.8832,0.8625,0.0033,0.0526,0.0091,0.1287,0.0501,0.0073,[4.384 4.463],[1.005 1.274]
2.2,71.25,0.95,0.05,0.1906,-1.5862,0.3659,-7.7008,1.7181,0.6508,0.0654,0.5472,0.1261,0.2082,0.5913,0.2233,[3.191 6.799],[2.658 2.16 ]
2.2,75.0,1.0,0.0,0.1724,-1.0952,0.3396,-7.598,1.5771,0.4673,0.0862,0.5489,0.1701,0.3206,0.7895,0.2337,[5.033 4.865],[0.514 1.309]
2.2,82.5,0.8,0.0,0.2086,-0.6036,0.4278,-7.1997,1.9268,0.2789,0.054,0.1577,0.1112,0.8301,0.4997,0.0724,[4.091 3.719],[0.945 1.444]
2.2,90.0,0.95,0.0,0.1873,-0.0011,0.3848,-7.62,1.7332,0.0005,0.0812,0.0056,0.1672,0.5345,0.7515,0.0036,[5.142 4.558],[0.592 0.776]
2.3,30.0,1.0,0.0,0.2078,-9.0498,0.2017,-7.8895,0.93,1.9264,0.0478,2.1291,0.0474,0.0991,0.2191,0.4424,[4.167 6.057],[1.421 1.118]
2.3,33.75,1.0,0.0,0.204,-7.9694,0.2217,-7.8736,1.0401,1.8622,0.0469,1.9027,0.0528,0.0984,0.2456,0.4276,[4.33 5.94],[0.832 1.524]
2.3,41.25,1.0,0.0,0.1897,-5.7158,0.2517,-7.9317,1.2038,1.601,0.0633,1.9237,0.0847,0.0848,0.4046,0.5339,[4.013 4.643],[1.618 1.79 ]
2.3,45.0,1.0,0.0,0.211,-5.377,0.3096,-7.9147,1.4731,1.669,0.003,0.2502,0.0131,0.0587,0.0463,0.0172,[4.95  3.994],[0.236 1.091]
2.3,48.75,0.95,0.0,0.1768,-3.9499,0.2783,-7.8883,1.3333,1.3032,0.0766,1.7196,0.1209,0.0886,0.5787,0.5645,[3.577 5.942],[1.673 0.99 ]
2.3,52.5,0.9,0.0,0.1684,-3.8401,0.3857,-7.9272,1.5215,-0.3366,0.0821,2.3087,0.4346,0.0871,0.9426,6.3052,[4.615 4.736],[0.813 0.655]
2.3,56.25,1.0,0.0,0.19,-3.1932,0.3327,-7.8926,1.5818,1.1849,0.0634,1.0698,0.1114,0.0841,0.529,0.3952,[5.341 4.982],[0.375 0.933]
2.3,60.0,0.9,0.1,0.1859,-2.7385,0.3389,-7.8828,1.6243,1.0461,0.0658,0.9742,0.1204,0.0846,0.5758,0.3701,[4.362 5.358],[0.923 1.242]
2.3,63.75,1.0,0.0,0.1994,-2.4786,0.3794,-7.8349,1.8098,0.9928,0.0459,0.5719,0.0875,0.1066,0.4164,0.2281,[3.85  5.255],[2.128 1.059]
2.3,67.5,0.9,0.0,0.2003,-2.0378,0.3929,-7.7278,1.8515,0.8499,0.0487,0.4985,0.096,0.1646,0.4508,0.2063,[3.893 5.996],[1.34  1.299]
2.3,71.25,1.0,0.0,0.2124,-1.7598,0.4298,-7.6261,2.0296,0.7584,0.0051,0.0719,0.0161,0.3159,0.0431,0.0079,[4.811 6.861],[0.843 1.867]
2.3,78.75,0.9,0.0,0.1833,-5.9201,0.5132,-7.6703,-12.2974,-5.3354,0.0772,20.7906,0.4712,0.2073,58.3674,23.6691,[3.78  5.074],[1.222 0.28 ]
2.3,82.5,1.0,0.0,0.1992,-0.5773,0.4275,-7.4337,1.9331,0.2761,0.0665,0.1934,0.1429,0.4148,0.6458,0.0922,[4.652 3.581],[0.649 1.613]
2.3,86.25,0.8,0.0,0.2071,-0.3222,0.4471,-7.427,2.0264,0.1602,0.0535,0.117,0.1164,0.5228,0.5265,0.0498,[4.513 5.937],[0.5   2.012]
2.3,90.0,0.7,0.0,0.1716,-1.9728,0.385,-7.3394,2.1482,0.0842,0.0859,4.0857,0.1979,1.0148,0.2748,0.1852,[5.103 4.458],[0.581 0.978]
2.4,30.0,0.95,0.0,0.2031,-7.1779,0.251,-7.8984,1.1209,1.9649,0.0481,2.0685,0.0687,0.0808,0.2796,0.4686,[3.385 5.308],[1.801 1.145]
2.4,33.75,0.7,0.0,0.1938,-5.5976,0.3456,-7.5011,1.1844,1.9294,0.054,2.208,0.137,1.5873,0.4832,0.4546,[4.315 4.435],[1.551 1.042]
2.4,37.5,0.65,0.0,0.2126,-7.1662,0.266,-7.8922,1.3738,1.8823,0.0048,0.6055,0.028,0.0865,0.1288,0.1431,[3.823 4.807],[2.007 0.957]
2.4,41.25,1.0,0.0,0.1913,-5.5304,0.27,-7.8464,1.2764,1.6647,0.0638,1.8609,0.0908,0.1313,0.4283,0.5552,[4.685 5.234],[0.882 0.618]
2.4,45.0,0.85,0.0,0.1978,-5.1011,0.3005,-7.8635,1.433,1.6305,0.0495,1.2903,0.076,0.0885,0.3614,0.4081,[5.258 5.201],[0.352 1.179]
2.4,48.75,1.0,0.0,0.2092,-4.7504,0.3403,-7.9175,1.6353,1.6178,0.0036,0.1527,0.0097,0.0638,0.0394,0.0149,[4.683 4.265],[1.037 1.037]
2.4,52.5,1.0,0.0,0.2005,-3.8308,0.3506,-7.9166,1.6643,1.4178,0.0461,0.895,0.0817,0.0448,0.3847,0.3256,[3.516 5.303],[1.49  0.669]
2.4,56.25,0.95,0.0,0.2112,-3.4933,0.39,-7.8806,1.8501,1.3685,0.0031,0.0901,0.0105,0.11,0.0403,0.0138,[4.724 5.   ],[0.872 0.272]
2.4,67.5,1.0,0.0,0.1698,-1.7285,0.3474,-7.7319,1.641,0.7528,0.0849,0.8662,0.174,0.2626,0.8214,0.3765,[4.359 4.905],[1.071 1.129]
2.4,71.25,0.95,0.0,0.1889,-1.5888,0.3987,-7.7601,1.889,0.7102,0.0648,0.5486,0.1375,0.2406,0.6502,0.2438,[5.115 3.049],[0.51  2.485]
